ZMW,region,start,stop,y
6881866,CCS,0,650,100
6881869,CCS,0,3091,100
6881869,Five_Barcode,90,114,75
6881869,Three_Barcode,90,166,50
6881870,CCS,0,2304,100
6881870,Five_Barcode_Reverse,2280,2304,75
6881870,Three_Barcode,1,71,50
6881871,CCS,0,2056,100
6881871,Five_Barcode_Reverse,2032,2056,75
6881871,Three_Barcode,2,77,50
6881872,CCS,0,2584,100
6881872,Five_Barcode,1,27,75
6881872,Three_Barcode_Reverse,2512,2588,50
6881874,CCS,0,1213,100
6881877,CCS,0,1895,100
6881877,Five_Barcode,1,25,75
6881877,Three_Barcode_Reverse,1826,1897,50
6881878,CCS,0,1849,100
6881878,Five_Barcode,1,27,75
6881878,Three_Barcode_Reverse,1777,1852,50
6881879,CCS,0,2032,100
6881879,Five_Barcode_Reverse,2007,2032,75
6881879,Three_Barcode,1,72,50
6881880,CCS,0,1937,100
6881882,CCS,0,907,100
6881884,CCS,0,633,100
6881885,CCS,0,691,100
6881885,Five_Barcode,1,27,75
6881885,Three_Barcode_Reverse,622,696,50
6881886,CCS,0,1319,100
6881887,CCS,0,4382,100
6881887,Three_Barcode_Reverse,4304,4383,50
6881889,CCS,0,593,100
6881890,CCS,0,7114,100
6881890,Five_Barcode,1,29,75
6881890,Three_Barcode_Reverse,7046,7118,50
6881891,CCS,0,56,100
6881892,CCS,0,1762,100
6881892,Five_Barcode,1,25,75
6881892,Three_Barcode_Reverse,1695,1766,50
6881893,CCS,0,1184,100
6881893,Five_Barcode_Reverse,1158,1184,75
6881893,Three_Barcode,1,71,50
6881894,CCS,0,1669,100
6881896,CCS,0,5174,100
6881896,Three_Barcode,1,80,50
6881898,CCS,0,1606,100
6881900,CCS,0,1101,100
6881900,Three_Barcode_Reverse,346,419,50
6881903,CCS,0,458,100
6881904,CCS,0,376,100
6881905,CCS,0,963,100
6881905,Five_Barcode_Reverse,939,963,75
6881905,Three_Barcode_Reverse,894,964,50
6881906,CCS,0,2928,100
6881906,Three_Barcode_Reverse,2848,2930,50
6881907,CCS,0,881,100
6881910,CCS,0,2345,100
6881910,Five_Barcode_Reverse,2320,2345,75
6881910,Three_Barcode,1,77,50
6881911,CCS,0,1879,100
6881911,Three_Barcode_Reverse,1805,1883,50
6881912,CCS,0,203,100
6881913,CCS,0,257,100
6881914,CCS,0,1801,100
6881914,Five_Barcode_Reverse,1777,1801,75
6881914,Three_Barcode_Reverse,1729,1801,50
6881916,CCS,0,1006,100
6881916,Five_Barcode_Reverse,982,1006,75
6881916,Three_Barcode_Reverse,936,1006,50
6881917,CCS,0,595,100
6881918,CCS,0,170,100
6881919,CCS,0,917,100
6881919,Five_Barcode_Reverse,894,918,75
6881919,Three_Barcode,1,77,50
6881920,CCS,0,2359,100
6881920,Five_Barcode_Reverse,2335,2359,75
6881920,Three_Barcode,1,71,50
6881920,Three_Barcode,1,73,50
6881922,CCS,0,599,100
6881922,Five_Barcode_Reverse,575,599,75
6881922,Three_Barcode,1,71,50
6881922,Three_Barcode,1,73,50
6881922,Three_Barcode,1,75,50
6881923,CCS,0,2405,100
6881923,Five_Barcode_Reverse,2381,2405,75
6881923,Three_Barcode,1,71,50
6881924,CCS,0,1492,100
6881924,Five_Barcode_Reverse,363,387,75
6881924,Five_Barcode_Reverse,1468,1492,75
6881924,Three_Barcode_Reverse,1422,1492,50
6881925,CCS,0,4103,100
6881925,Five_Barcode_Reverse,4079,4103,75
6881925,Three_Barcode,1,72,50
6881926,CCS,0,3675,100
6881926,Five_Barcode_Reverse,3651,3675,75
6881926,Three_Barcode,1,81,50
6881927,CCS,0,5323,100
6881927,Five_Barcode_Reverse,5299,5323,75
6881927,Three_Barcode,1,71,50
6881929,CCS,0,2527,100
6881929,Five_Barcode,1,26,75
6881929,Three_Barcode_Reverse,2452,2530,50
6881930,CCS,0,233,100
6881933,CCS,0,1486,100
6881933,Five_Barcode_Reverse,1462,1486,75
6881933,Three_Barcode,1,71,50
6881934,CCS,0,2051,100
6881934,Five_Barcode,1,25,75
6881934,Three_Barcode_Reverse,959,1034,50
6881937,CCS,0,3944,100
6881937,Five_Barcode,1,25,75
6881937,Three_Barcode_Reverse,3866,3948,50
6881938,CCS,0,223,100
6881939,CCS,0,2498,100
6881939,Five_Barcode_Reverse,2474,2498,75
6881939,Three_Barcode,1,72,50
6881940,CCS,0,1929,100
6881940,Three_Barcode_Reverse,1500,1577,50
6881941,CCS,0,2819,100
6881941,Five_Barcode_Reverse,2792,2818,75
6881941,Three_Barcode,4,83,50
6881942,CCS,0,875,100
6881943,CCS,0,2820,100
6881943,Five_Barcode,1,26,75
6881943,Three_Barcode,1,73,50
6881944,CCS,0,4474,100
6881944,Five_Barcode_Reverse,4450,4474,75
6881944,Three_Barcode,1,71,50
6881945,CCS,0,2349,100
6881945,Five_Barcode_Reverse,2323,2348,75
6881945,Three_Barcode,1,73,50
6881947,CCS,0,1906,100
6881947,Five_Barcode_Reverse,1882,1906,75
6881947,Three_Barcode_Reverse,1836,1906,50
6881948,CCS,0,126,100
6881949,CCS,0,1341,100
6881949,Five_Barcode_Reverse,1316,1342,75
6881949,Three_Barcode_Reverse,1267,1342,50
6881951,CCS,0,501,100
6881952,CCS,0,2659,100
6881952,Three_Barcode_Reverse,2586,2662,50
6881953,CCS,0,357,100
6881953,Five_Barcode_Reverse,333,357,75
6881953,Three_Barcode_Reverse,286,357,50
6881954,CCS,0,67,100
6881955,CCS,0,990,100
6881955,Five_Barcode_Reverse,966,990,75
6881955,Three_Barcode_Reverse,918,990,50
6881957,CCS,0,928,100
6881959,CCS,0,5365,100
6881959,Three_Barcode_Reverse,2346,2428,50
6881960,CCS,0,502,100
6881961,CCS,0,1649,100
6881961,Five_Barcode_Reverse,1251,1275,75
6881961,Three_Barcode_Reverse,1206,1276,50
6881963,CCS,0,1689,100
6881963,Three_Barcode,4,80,50
6881964,CCS,0,1093,100
6881965,CCS,0,200,100
6881966,CCS,0,1979,100
6881966,Five_Barcode_Reverse,947,971,75
6881966,Five_Barcode_Reverse,1955,1979,75
6881966,Three_Barcode_Reverse,901,971,50
6881966,Three_Barcode_Reverse,1909,1979,50
6881968,CCS,0,1523,100
6881968,Five_Barcode_Reverse,1499,1523,75
6881968,Three_Barcode_Reverse,1453,1523,50
6881969,CCS,0,2433,100
6881969,Five_Barcode_Reverse,2409,2433,75
6881969,Three_Barcode,1,72,50
6881970,CCS,0,2067,100
6881970,Five_Barcode_Reverse,2043,2067,75
6881970,Three_Barcode,1,74,50
6881972,CCS,0,676,100
6881973,CCS,0,4030,100
6881973,Five_Barcode_Reverse,4006,4030,75
6881973,Three_Barcode_Reverse,3956,4030,50
6881975,CCS,0,2298,100
6881976,CCS,0,1941,100
6881976,Five_Barcode_Reverse,1917,1941,75
6881976,Three_Barcode_Reverse,1871,1941,50
6881978,CCS,0,368,100
6881979,CCS,0,3295,100
6881981,CCS,0,1403,100
6881981,Five_Barcode_Reverse,1379,1403,75
6881981,Three_Barcode,1,71,50
6881982,CCS,0,211,100
6881982,Five_Barcode_Reverse,184,210,75
6881982,Three_Barcode,1,97,50
6881984,CCS,0,3639,100
6881984,Three_Barcode_Reverse,1191,1268,50
6881985,CCS,0,3352,100
6881985,Five_Barcode,4,31,75
6881985,Three_Barcode_Reverse,3279,3355,50
6881986,CCS,0,2406,100
6881987,CCS,0,313,100
6881989,CCS,0,3881,100
6881989,Five_Barcode,1,24,75
6881989,Three_Barcode_Reverse,3809,3885,50
6881990,CCS,0,179,100
6881992,CCS,0,802,100
6881993,CCS,0,301,100
6881994,CCS,0,2013,100
6881994,Five_Barcode_Reverse,1989,2013,75
6881994,Three_Barcode_Reverse,1943,2013,50
6881995,CCS,0,2878,100
6881995,Five_Barcode,882,907,75
6881995,Three_Barcode_Reverse,2797,2879,50
6881996,CCS,0,2804,100
6881996,Five_Barcode_Reverse,2780,2804,75
6881996,Three_Barcode_Reverse,2735,2805,50
6881998,CCS,0,334,100
6882000,CCS,0,1693,100
6882000,Five_Barcode_Reverse,1669,1693,75
6882000,Three_Barcode_Reverse,1623,1693,50
6882003,CCS,0,3556,100
6882003,Five_Barcode_Reverse,3532,3556,75
6882003,Three_Barcode,1,71,50
6882004,CCS,0,1172,100
6882004,Five_Barcode_Reverse,1148,1172,75
6882004,Three_Barcode_Reverse,1101,1172,50
6882005,CCS,0,679,100
6882007,CCS,0,9051,100
6882007,Five_Barcode,4515,4540,75
6882007,Three_Barcode_Reverse,8986,9057,50
6882008,CCS,0,1765,100
6882008,Five_Barcode,1,25,75
6882008,Three_Barcode,1,75,50
6882009,CCS,0,1256,100
6882009,Five_Barcode_Reverse,1231,1255,75
6882009,Three_Barcode,1,72,50
6882010,CCS,0,1652,100
6882012,CCS,0,1027,100
6882012,Five_Barcode,1,26,75
6882014,CCS,0,244,100
6882016,CCS,0,543,100
6882016,Five_Barcode_Reverse,519,543,75
6882016,Three_Barcode,1,72,50
6882017,CCS,0,262,100
6882017,Three_Barcode_Reverse,193,269,50
6882018,CCS,0,2110,100
6882018,Five_Barcode_Reverse,2086,2110,75
6882018,Three_Barcode,1,71,50
6882018,Three_Barcode,1,73,50
6882018,Three_Barcode,1,75,50
6882019,CCS,0,519,100
6882019,Five_Barcode,1,25,75
6882019,Three_Barcode_Reverse,448,520,50
6882021,CCS,0,1092,100
6882022,CCS,0,972,100
6882022,Five_Barcode_Reverse,948,972,75
6882022,Three_Barcode_Reverse,902,972,50
6882023,CCS,0,2269,100
6882023,Five_Barcode,2,26,75
6882023,Three_Barcode,2,73,50
6882024,CCS,0,1958,100
6882024,Three_Barcode,1,81,50
6882025,CCS,0,75,100
6882027,CCS,0,3061,100
6882027,Five_Barcode_Reverse,3036,3062,75
6882027,Three_Barcode,1,72,50
6882028,CCS,0,397,100
6882028,Five_Barcode_Reverse,373,397,75
6882028,Three_Barcode_Reverse,327,398,50
6882029,CCS,0,1525,100
6882029,Three_Barcode_Reverse,1437,1527,50
6882030,CCS,0,1522,100
6882030,Five_Barcode_Reverse,1498,1522,75
6882030,Three_Barcode_Reverse,1451,1522,50
6882031,CCS,0,1405,100
6882032,CCS,0,1786,100
6882032,Three_Barcode_Reverse,1705,1787,50
6882034,CCS,0,5955,100
6882035,CCS,0,1552,100
6882035,Five_Barcode_Reverse,1528,1552,75
6882035,Three_Barcode,1,71,50
6882037,CCS,0,351,100
6882039,CCS,0,2865,100
6882039,Five_Barcode_Reverse,2841,2865,75
6882039,Three_Barcode,1,72,50
6882040,CCS,0,2033,100
6882040,Five_Barcode_Reverse,1354,1381,75
6882040,Three_Barcode_Reverse,1947,2036,50
6882042,CCS,0,1938,100
6882042,Five_Barcode_Reverse,1914,1938,75
6882042,Three_Barcode,1,87,50
6882043,CCS,0,946,100
6882043,Five_Barcode_Reverse,922,946,75
6882043,Three_Barcode_Reverse,877,947,50
6882044,CCS,0,2515,100
6882044,Three_Barcode_Reverse,2440,2520,50
6882046,CCS,0,4997,100
6882046,Five_Barcode,1,26,75
6882046,Three_Barcode_Reverse,4914,4996,50
6882047,CCS,0,1082,100
6882047,Three_Barcode_Reverse,1004,1086,50
6882048,CCS,0,1729,100
6882048,Five_Barcode_Reverse,1705,1729,75
6882048,Three_Barcode,1,71,50
6882050,CCS,0,1192,100
6882050,Five_Barcode,5,33,75
6882050,Three_Barcode,5,86,50
6882051,CCS,0,5001,100
6882051,Five_Barcode,1,25,75
6882051,Three_Barcode_Reverse,4933,5003,50
6882054,CCS,0,1670,100
6882054,Three_Barcode,1,83,50
6882054,Three_Barcode,1,85,50
6882055,CCS,0,146,100
6882056,CCS,0,1770,100
6882056,Five_Barcode_Reverse,1746,1770,75
6882056,Three_Barcode,1,72,50
6882058,CCS,0,2191,100
6882058,Five_Barcode_Reverse,2167,2191,75
6882058,Three_Barcode,1,71,50
6882061,CCS,0,2118,100
6882061,Five_Barcode,2,28,75
6882061,Three_Barcode_Reverse,1062,1139,50
6882062,CCS,0,1729,100
6882062,Five_Barcode_Reverse,1705,1729,75
6882062,Three_Barcode_Reverse,1655,1729,50
6882063,CCS,0,6837,100
6882063,Five_Barcode,1,24,75
6882063,Three_Barcode,1,71,50
6882067,CCS,0,1376,100
